data;energia(mwmed);temp
01/01/2016;17205;25.6
01/02/2016;17435;26.1
01/03/2016;14569;21.2
01/04/2016;14897;17.3
01/05/2016;15772;12.6
01/06/2016;17035;10.6
01/07/2016;16639;11.0
01/08/2016;15064;13.8
01/09/2016;14889;14.3
01/10/2016;14127;17.8
01/11/2016;14573;21.1
01/12/2016;16480;25.3
01/01/2017;17384;25.7
01/02/2017;17075;25.3
01/03/2017;15533;22.5
01/04/2017;14042;18.9
01/05/2017;15014;15.9
01/06/2017;16374;13.7
01/07/2017;16376;13.4
01/08/2017;15415;15.2
01/09/2017;14839;15.9
01/10/2017;14248;18.1
01/11/2017;14923;20.6
01/12/2017;16776;24.7
01/01/2018;17135;26.2
01/02/2018;17514;25.2
01/03/2018;15631;22.4
01/04/2018;15075;22.1
01/05/2018;14810;16.6
01/06/2018;17105;11.3
01/07/2018;17526;10.9
01/08/2018;16263;12.4
01/09/2018;14258;17.6
01/10/2018;13971;17.8
01/11/2018;14470;21.5
01/12/2018;15149;22.5
01/01/2019;16311;25.0
01/02/2019;16505;24.2
01/03/2019;14078;21.2
01/04/2019;13740;19.7
01/05/2019;14487;16.0
01/06/2019;15380;14.6
01/07/2019;16726;11.7
01/08/2019;16042;12.9
01/09/2019;14850;15.4
01/10/2019;14588;17.5
01/11/2019;15288;22.7
01/12/2019;15610;23.7
01/01/2020;16746;25.2
01/02/2020;16158;24.5
01/03/2020;15771;24.4
01/04/2020;12612;18.2
01/05/2020;13663;15.7
01/06/2020;15587;13.0
01/07/2020;17045;10.9
01/08/2020;14945;14.1
01/09/2020;14476;14.6
01/10/2020;14445;17.3
01/11/2020;16269;22.0
01/12/2020;17190;23.5
01/01/2021;17370;25.7
01/02/2021;16304;23.6
01/03/2021;15498;22.2
01/04/2021;14134;20.8
01/05/2021;15290;14.3
01/06/2021;17402;11.9
01/07/2021;17488;12.3
01/08/2021;17170;13.2
01/09/2021;16194;16.0
01/10/2021;15200;18.9
01/11/2021;15866;21.6
01/12/2021;17401;25.1
01/01/2022;18372;26.2
01/02/2022;16402;23.2
01/03/2022;15178;20.8
01/04/2022;14644;18.1
01/05/2022;16471;13.9
01/06/2022;19022;10.8
01/07/2022;17781;12.5
01/08/2022;16534;13.7
01/09/2022;14924;15.8
01/10/2022;14462;18.1
01/11/2022;16517;23.0
01/12/2022;18350;25.2
01/01/2023;19138;26.9
01/02/2023;18571;25.8
01/03/2023;19651;30.3
01/04/2023;14599;18.43
01/05/2023;15121;13.84
01/06/2023;17446;11.97
